route_id_x;route_long_name_x;stop_id;stop_name_x;OperatorName_x;ArRTown;Pointgeo_x;Nom_commune_x;ArRAccessibility;latitude_x;longitude_x;stop_lon;stop_lat;Nom_commune_y;Geo Point;Geo Shape;nom_long;res_com;indice_lig;mode;tertrain;terrer;termetro;tertram;terval;exploitant;picto ligne
IDFM:C01229;215;IDFM:463525;Dugommier;RATP;Paris 12e;48.83887790625349,2.387598807357597;Paris;True;48.83887790625349;2.387598807357597;2.387598807357597;48.83887790625349;Paris;;;;;;;;;;;;;
IDFM:C01229;215;IDFM:28372;Porte De Vincennes;RATP;Paris 12e;48.84697880529259,2.4104101489381002;Paris;True;48.84697880529259;2.4104101489381;2.4104101489381;48.84697880529259;Paris;;;;;;;;;;;;;
IDFM:C01229;215;IDFM:28372;Porte De Vincennes;RATP;Paris 12e;48.84697880529259,2.4104101489381002;Paris;True;48.84697880529259;2.4104101489381;2.4104101489381;48.84697880529259;Paris;;;;;;;;;;;;;
IDFM:C01229;215;IDFM:28372;Porte De Vincennes;RATP;Paris 12e;48.84697880529259,2.4104101489381002;Paris;True;48.84697880529259;2.4104101489381;2.4104101489381;48.84697880529259;Paris;;;;;;;;;;;;;
IDFM:C01229;215;IDFM:28372;Porte De Vincennes;RATP;Paris 12e;48.84697880529259,2.4104101489381002;Paris;True;48.84697880529259;2.4104101489381;2.4104101489381;48.84697880529259;Paris;;;;;;;;;;;;;
IDFM:C01118;86;IDFM:28372;Porte De Vincennes;RATP;Paris 12e;48.84697880529259,2.4104101489381002;Paris;True;48.84697880529259;2.4104101489381;2.4104101489381;48.84697880529259;Paris;;;;;;;;;;;;;
IDFM:C01118;86;IDFM:28372;Porte De Vincennes;RATP;Paris 12e;48.84697880529259,2.4104101489381002;Paris;True;48.84697880529259;2.4104101489381;2.4104101489381;48.84697880529259;Paris;;;;;;;;;;;;;
IDFM:C01118;86;IDFM:28372;Porte De Vincennes;RATP;Paris 12e;48.84697880529259,2.4104101489381002;Paris;True;48.84697880529259;2.4104101489381;2.4104101489381;48.84697880529259;Paris;;;;;;;;;;;;;
IDFM:C01118;86;IDFM:28372;Porte De Vincennes;RATP;Paris 12e;48.84697880529259,2.4104101489381002;Paris;True;48.84697880529259;2.4104101489381;2.4104101489381;48.84697880529259;Paris;;;;;;;;;;;;;
IDFM:C01299;351;IDFM:28372;Porte De Vincennes;RATP;Paris 12e;48.84697880529259,2.4104101489381002;Paris;True;48.84697880529259;2.4104101489381;2.4104101489381;48.84697880529259;Paris;;;;;;;;;;;;;
IDFM:C01299;351;IDFM:28372;Porte De Vincennes;RATP;Paris 12e;48.84697880529259,2.4104101489381002;Paris;True;48.84697880529259;2.4104101489381;2.4104101489381;48.84697880529259;Paris;;;;;;;;;;;;;
IDFM:C01299;351;IDFM:28372;Porte De Vincennes;RATP;Paris 12e;48.84697880529259,2.4104101489381002;Paris;True;48.84697880529259;2.4104101489381;2.4104101489381;48.84697880529259;Paris;;;;;;;;;;;;;
IDFM:C01299;351;IDFM:28372;Porte De Vincennes;RATP;Paris 12e;48.84697880529259,2.4104101489381002;Paris;True;48.84697880529259;2.4104101489381;2.4104101489381;48.84697880529259;Paris;;;;;;;;;;;;;
IDFM:C01415;N11;IDFM:28372;Porte De Vincennes;RATP;Paris 12e;48.84697880529259,2.4104101489381002;Paris;True;48.84697880529259;2.4104101489381;2.4104101489381;48.84697880529259;Paris;;;;;;;;;;;;;
IDFM:C01415;N11;IDFM:28372;Porte De Vincennes;RATP;Paris 12e;48.84697880529259,2.4104101489381002;Paris;True;48.84697880529259;2.4104101489381;2.4104101489381;48.84697880529259;Paris;;;;;;;;;;;;;
IDFM:C01415;N11;IDFM:28372;Porte De Vincennes;RATP;Paris 12e;48.84697880529259,2.4104101489381002;Paris;True;48.84697880529259;2.4104101489381;2.4104101489381;48.84697880529259;Paris;;;;;;;;;;;;;
IDFM:C01415;N11;IDFM:28372;Porte De Vincennes;RATP;Paris 12e;48.84697880529259,2.4104101489381002;Paris;True;48.84697880529259;2.4104101489381;2.4104101489381;48.84697880529259;Paris;;;;;;;;;;;;;
IDFM:C01229;215;IDFM:29428;Charles Bossut;RATP;Paris 12e;48.84304093172349,2.383898197452913;Paris;True;48.84304093172349;2.383898197452913;2.383898197452913;48.84304093172349;Paris;;;;;;;;;;;;;
IDFM:C01229;215;IDFM:29428;Charles Bossut;RATP;Paris 12e;48.84304093172349,2.383898197452913;Paris;True;48.84304093172349;2.383898197452913;2.383898197452913;48.84304093172349;Paris;;;;;;;;;;;;;
IDFM:C01079;29;IDFM:29428;Charles Bossut;RATP;Paris 12e;48.84304093172349,2.383898197452913;Paris;True;48.84304093172349;2.383898197452913;2.383898197452913;48.84304093172349;Paris;;;;;;;;;;;;;
IDFM:C01079;29;IDFM:29428;Charles Bossut;RATP;Paris 12e;48.84304093172349,2.383898197452913;Paris;True;48.84304093172349;2.383898197452913;2.383898197452913;48.84304093172349;Paris;;;;;;;;;;;;;
IDFM:C01230;216;IDFM:29857;Cité Universitaire;RATP;Paris 14e;48.82152389787098,2.3409494005421077;Paris;True;48.82152389787098;2.340949400542108;2.340949400542108;48.82152389787098;Paris;;;;;;;;;;;;;
IDFM:C01230;216;IDFM:29857;Cité Universitaire;RATP;Paris 14e;48.82152389787098,2.3409494005421077;Paris;True;48.82152389787098;2.340949400542108;2.340949400542108;48.82152389787098;Paris;;;;;;;;;;;;;
