TYPE,ADRESSE,ARRONDISSEMENT,HORAIRE,geo_shape,geo
SANISETTE,34  BOULEVARD DE BELLEVILLE,PARIS 20EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3818979958482376, 48.86834301160022]], ""type"": ""MultiPoint""}","48.86834301160022, 2.3818979958482376"
SANISETTE,296  RUE DES PYRENEES,PARIS 20EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.392052330778951, 48.871931093994846]], ""type"": ""MultiPoint""}","48.871931093994846, 2.392052330778951"
SANISETTE,37  RUE DU LOUVRE,PARIS 2EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3438209928812777, 48.86743784108789]], ""type"": ""MultiPoint""}","48.86743784108789, 2.3438209928812777"
SANISETTE,RUE DE SEVRES,PARIS 7EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3230546550811466, 48.849834876751956]], ""type"": ""MultiPoint""}","48.849834876751956, 2.3230546550811466"
SANISETTE,21  RUE D AMSTERDAM,PARIS 9EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.327036875810631, 48.87760564689644]], ""type"": ""MultiPoint""}","48.87760564689644, 2.327036875810631"
SANISETTE,face au 1 RUE DE METZ,PARIS 10EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.3545614977622566, 48.87075131711197]], ""type"": ""MultiPoint""}","48.87075131711197, 2.3545614977622566"
SANISETTE,1  AVENUE RICHERAND,PARIS 10EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.3654655903410804, 48.871838533343436]], ""type"": ""MultiPoint""}","48.871838533343436, 2.3654655903410804"
SANISETTE,2  RUE DES ECLUSES SAINT MARTIN,PARIS 10EME ARRONDISSEMENT,6 h - 1 h,"{""coordinates"": [[2.3681776037251954, 48.8762387317577]], ""type"": ""MultiPoint""}","48.8762387317577, 2.3681776037251954"
SANISETTE,116  QUAI DE JEMMAPES,PARIS 10EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.363649699340399, 48.874924571385016]], ""type"": ""MultiPoint""}","48.874924571385016, 2.363649699340399"
SANISETTE,12  PLACE DE LA REPUBLIQUE,PARIS 10EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.3634091405580957, 48.86839539424433]], ""type"": ""MultiPoint""}","48.86839539424433, 2.3634091405580957"
SANISETTE,51  QUAI DE VALMY,PARIS 10EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.365863387720753, 48.87027367959494]], ""type"": ""MultiPoint""}","48.87027367959494, 2.365863387720753"
SANISETTE,RUE DU FAUBOURG DU TEMPLE,PARIS 11EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.3653202953346644, 48.86802919672033]], ""type"": ""MultiPoint""}","48.86802919672033, 2.3653202953346644"
SANISETTE,282  BOULEVARD VOLTAIRE,PARIS 11EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3936632083961533, 48.84958044775065]], ""type"": ""MultiPoint""}","48.84958044775065, 2.3936632083961533"
SANISETTE,face au 1 BOULEVARD DE REUILLY,PARIS 12EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.389572937934305, 48.83894041055918]], ""type"": ""MultiPoint""}","48.83894041055918, 2.389572937934305"
TOILETTES,SQUARE DE LA RUE DE CHATILLON,PARIS 14EME ARRONDISSEMENT,Voir fiche équipement,"{""coordinates"": [[2.322543506474705, 48.82795466191802]], ""type"": ""MultiPoint""}","48.82795466191802, 2.322543506474705"
TOILETTES,JARDIN DE REUILLY - PAUL PERNIN,PARIS 12EME ARRONDISSEMENT,Voir fiche équipement,"{""coordinates"": [[2.3882835200147157, 48.84285654035907]], ""type"": ""MultiPoint""}","48.84285654035907, 2.3882835200147157"
TOILETTES,SQUARE ALEXANDRE ET RENE PARODI,PARIS 16EME ARRONDISSEMENT,Voir fiche équipement,"{""coordinates"": [[2.281006175261719, 48.87626369017988]], ""type"": ""MultiPoint""}","48.87626369017988, 2.281006175261719"
SANISETTE,face au 57 BOULEVARD LEFEBVRE,PARIS 15EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.291834085756668, 48.83096156719241]], ""type"": ""MultiPoint""}","48.83096156719241, 2.291834085756668"
SANISETTE,face au 200 RUE DE LA CONVENTION,PARIS 15EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.2968019724199946, 48.83718929817782]], ""type"": ""MultiPoint""}","48.83718929817782, 2.2968019724199946"
SANISETTE,132  BOULEVARD BESSIERES,PARIS 17EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3142935517352488, 48.894846104664346]], ""type"": ""MultiPoint""}","48.894846104664346, 2.3142935517352488"
SANISETTE,face au 36 RUE LEIBNIZ,PARIS 18EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3346274255529242, 48.89642913978983]], ""type"": ""MultiPoint""}","48.89642913978983, 2.3346274255529242"
SANISETTE,RUE DE L'EVANGILE,PARIS 18EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3612146991132663, 48.891499998549264]], ""type"": ""MultiPoint""}","48.891499998549264, 2.3612146991132663"
SANISETTE,58  AVENUE DE FLANDRE,PARIS 19EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.373749928304555, 48.88818203567653]], ""type"": ""MultiPoint""}","48.88818203567653, 2.373749928304555"
SANISETTE,220  BOULEVARD DE LA VILLETTE,PARIS 19EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3673810502806054, 48.88425702092837]], ""type"": ""MultiPoint""}","48.88425702092837, 2.3673810502806054"
SANISETTE,25  AVENUE DE FLANDRE,PARIS 19EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.3703659880495707, 48.88577302968561]], ""type"": ""MultiPoint""}","48.88577302968561, 2.3703659880495707"
SANISETTE,100  AVENUE DE FLANDRE,PARIS 19EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.377243000431038, 48.890960408214866]], ""type"": ""MultiPoint""}","48.890960408214866, 2.377243000431038"
SANISETTE,3  RUE SORBIER,PARIS 20EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.3898886443887353, 48.86842573926061]], ""type"": ""MultiPoint""}","48.86842573926061, 2.3898886443887353"
SANISETTE,157  RUE DE MENILMONTANT,PARIS 20EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.398201792194381, 48.87058588945121]], ""type"": ""MultiPoint""}","48.87058588945121, 2.398201792194381"
SANISETTE,QUAI DE L HOTEL DE VILLE,PARIS 4EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.3560235996563175, 48.85415067181023]], ""type"": ""MultiPoint""}","48.85415067181023, 2.3560235996563175"
SANISETTE,79 bis RUE LA FAYETTE,PARIS 9EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.346852652338534, 48.87674207808278]], ""type"": ""MultiPoint""}","48.87674207808278, 2.346852652338534"
SANISETTE,54  BOULEVARD DU TEMPLE,PARIS 11EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.3650032562219216, 48.86622478521029]], ""type"": ""MultiPoint""}","48.86622478521029, 2.3650032562219216"
SANISETTE,18  AVENUE JEAN AICARD,PARIS 11EME ARRONDISSEMENT,6 h - 1 h,"{""coordinates"": [[2.380958599624834, 48.8656969837307]], ""type"": ""MultiPoint""}","48.8656969837307, 2.380958599624834"
SANISETTE,124  AVENUE DU GENERAL MICHEL BIZOT,PARIS 12EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.4046627800360905, 48.84045632063809]], ""type"": ""MultiPoint""}","48.84045632063809, 2.4046627800360905"
SANISETTE,18  RUE ERARD,PARIS 12EME ARRONDISSEMENT,6 h - 22 h,"{""coordinates"": [[2.3849164360974857, 48.84559229825361]], ""type"": ""MultiPoint""}","48.84559229825361, 2.3849164360974857"
SANISETTE,117  BOULEVARD MASSENA,PARIS 13EME ARRONDISSEMENT,24 h / 24,"{""coordinates"": [[2.363982338246409, 48.81958369499794]], ""type"": ""MultiPoint""}","48.81958369499794, 2.363982338246409"
