Type Objet,Commune,geo_shape,geo,Adresse
FONTAINE_BOIS,PARIS 18EME ARRONDISSEMENT,"{""coordinates"": [2.3633013314317286, 48.889446412669884], ""type"": ""Point""}","48.889446412669884, 2.3633013314317286",RUE RIQUET
FONTAINE_BOIS,PARIS 19EME ARRONDISSEMENT,"{""coordinates"": [2.4085456994068037, 48.879109917531444], ""type"": ""Point""}","48.879109917531444, 2.4085456994068037",AVENUE RENE FONCK
FONTAINE_BOIS,PARIS 16EME ARRONDISSEMENT,"{""coordinates"": [2.284785734263238, 48.86212208747986], ""type"": ""Point""}","48.86212208747986, 2.284785734263238",AVENUE DES MARRONNIERS
FONTAINE_BOIS,PARIS 18EME ARRONDISSEMENT,"{""coordinates"": [2.331068593683841, 48.88831211706412], ""type"": ""Point""}","48.88831211706412, 2.331068593683841",AVENUE DE MONTEBELLO
FONTAINE_BOIS,PARIS 18EME ARRONDISSEMENT,"{""coordinates"": [2.330339356117468, 48.88686572108438], ""type"": ""Point""}","48.88686572108438, 2.330339356117468",AVENUE DE LA CROIX
FONTAINE_BOIS,PARIS 15EME ARRONDISSEMENT,"{""coordinates"": [2.2790697682316443, 48.84158520043376], ""type"": ""Point""}","48.84158520043376, 2.2790697682316443",RUE GUTENBERG
FONTAINE_BOIS,PARIS 16EME ARRONDISSEMENT,"{""coordinates"": [2.2501657556586334, 48.87351714039137], ""type"": ""Point""}","48.87351714039137, 2.2501657556586334",PARC DE BAGATELLE
FONTAINE_BOIS,PARIS 16EME ARRONDISSEMENT,"{""coordinates"": [2.2479128869964997, 48.872953035574334], ""type"": ""Point""}","48.872953035574334, 2.2479128869964997",PARC DE BAGATELLE
FONTAINE_BOIS,PARIS 20EME ARRONDISSEMENT,"{""coordinates"": [2.4130170697826, 48.8722372633126], ""type"": ""Point""}","48.8722372633126, 2.4130170697826",RUE DE NOISY LE SEC
FONTAINE_BOIS,PARIS 15EME ARRONDISSEMENT,"{""coordinates"": [2.2901719995694245, 48.836828000283845], ""type"": ""Point""}","48.836828000283845, 2.2901719995694245",220F  RUE DE LA CROIX NIVERT
FONTAINE_BOIS,PARIS 19EME ARRONDISSEMENT,"{""coordinates"": [2.38064187500718, 48.878713960626165], ""type"": ""Point""}","48.878713960626165, 2.38064187500718",PARC DES BUTTES CHAUMONT
