route_id;route_long_name;stop_id;stop_name;OperatorName;ArRTown;Pointgeo;Nom_commune;ArRAccessibility;latitude;longitude
IDFM:C01229;215;IDFM:463525;Dugommier;RATP;Paris 12e;48.83887790625349,2.387598807357597;Paris;true;48.83887790625349;2.387598807357597
IDFM:C01229;215;IDFM:28372;Porte De Vincennes;RATP;Paris 12e;48.84697880529259,2.4104101489381002;Paris;true;48.84697880529259;2.4104101489381
IDFM:C01229;215;IDFM:29428;Charles Bossut;RATP;Paris 12e;48.84304093172349,2.383898197452913;Paris;true;48.84304093172349;2.383898197452913
IDFM:C01230;216;IDFM:29857;Cité Universitaire;RATP;Paris 14e;48.82152389787098,2.3409494005421077;Paris;true;48.82152389787098;2.340949400542108
IDFM:C01116;84;IDFM:28424;Charlotte Perriand;RATP;Paris 7e;48.85376389070572,2.325999915456006;Paris;true;48.85376389070572;2.325999915456006
IDFM:C01116;84;IDFM:8316;Concorde Royale;RATP;Paris 8e;48.86724383996729,2.3225810560868547;Paris;true;48.86724383996729;2.3225810560868547
IDFM:C01118;86;IDFM:24985;Crozatier;RATP;Paris 12e;48.8504570314578,2.3797222169818038;Paris;true;48.8504570314578;2.379722216981804
IDFM:C01118;86;IDFM:28372;Porte De Vincennes;RATP;Paris 12e;48.84697880529259,2.4104101489381002;Paris;true;48.84697880529259;2.4104101489381
IDFM:C01118;86;IDFM:39893;Hôpital Saint-Antoine;RATP;Paris 11e;48.85037227682103,2.3824623821757056;Paris;true;48.85037227682103;2.3824623821757056
IDFM:C01118;86;IDFM:24986;Ledru Rollin - Faubourg Saint-Antoine;RATP;Paris 11e;48.85128593983837,2.3765506804657646;Paris;true;48.85128593983837;2.376550680465765
IDFM:C01119;87;IDFM:490480;Charenton - Jardiniers;RATP;Paris 12e;48.83344753324636,2.3950191347521392;Paris;true;48.83344753324636;2.3950191347521392
IDFM:C01120;88;IDFM:37266;Hôpital Européen Georges Pompidou;RATP;Paris 15e;48.83967375504146,2.272745012596824;Paris;true;48.83967375504146;2.272745012596824
IDFM:C01120;88;IDFM:463786;Porte Molitor;RATP;Paris 16e;48.84570390519947,2.2588026170122513;Paris;true;48.84570390519947;2.2588026170122517
IDFM:C01121;89;IDFM:28711;Emile Durkheim;RATP;Paris 13e;48.831166208274745,2.376355380015056;Paris;true;48.831166208274745;2.376355380015056
IDFM:C01121;89;IDFM:479696;Rennes - Raspail;RATP;Paris 6e;48.84752660083171,2.3283562904119757;Paris;true;48.84752660083171;2.328356290411976
IDFM:C01122;91;IDFM:28434;Campagne Première;RATP;Paris 14e;48.84040931537586,2.3341978028221413;Paris;true;48.84040931537586;2.3341978028221413
IDFM:C01122;91;IDFM:463956;Lyon - Ledru Rollin;RATP;Paris 12e;48.8487667168741,2.371198062541295;Paris;true;48.8487667168741;2.371198062541295
IDFM:C01122;91;IDFM:39929;Jacques Bonsergent;RATP;Paris 10e;48.87090854593583,2.3609922897118416;Paris;true;48.87090854593583;2.3609922897118416
IDFM:C01122;91;IDFM:26755;Campagne Première;RATP;Paris 6e;48.8408173785211,2.3331843243724704;Paris;true;48.8408173785211;2.3331843243724704
IDFM:C01105;69;IDFM:23316;Bosquet - Saint-Dominique;RATP;Paris 7e;48.8588532796244,2.3038399182350378;Paris;true;48.8588532796244;2.3038399182350378
IDFM:C01105;69;IDFM:26303;Folie Regnault - Chemin Vert;RATP;Paris 11e;48.86193464753816,2.385324075659091;Paris;true;48.86193464753816;2.385324075659091
IDFM:C01106;70;IDFM:26082;Les Moulins - Camping;RATP;Paris 16e;48.86544133005312,2.2339573113313165;Paris;true;48.86544133005312;2.2339573113313165
IDFM:C01107;72;IDFM:25528;Radio France;RATP;Paris 16e;48.853090007113636,2.2812936360025695;Paris;true;48.85309000711364;2.281293636002569
IDFM:C01107;72;IDFM:25506;Degas;RATP;Paris 16e;48.84889706866963,2.2750147192305707;Paris;true;48.84889706866963;2.2750147192305707
IDFM:C01107;72;IDFM:23520;Versailles - Chardon Lagache;RATP;Paris 16e;48.83875577411084,2.262362118640788;Paris;true;48.83875577411084;2.262362118640788
IDFM:C01107;72;IDFM:27341;Passerelle L.S. Senghor;RATP;Paris 1er;48.862241939982134,2.3254949388328905;Paris;true;48.86224193998213;2.3254949388328905
IDFM:C01109;74;IDFM:8415;Legendre;RATP;Paris 17e;48.889340373833214,2.3225527033167466;Paris;true;48.889340373833214;2.3225527033167466
IDFM:C02205;PC;IDFM:39333;Raffet;RATP;Paris 16e;48.85342412066755,2.262304384185771;Paris;true;48.85342412066755;2.262304384185771
IDFM:C01095;58;IDFM:426324;Sénat;RATP;Paris 6e;48.84920273857485,2.3370153446415167;Paris;true;48.84920273857485;2.3370153446415167
IDFM:C01096;60;IDFM:36673;Ménilmontant - Pelleport;RATP;Paris 20e;48.871213120873136,2.398956729720032;Paris;true;48.871213120873136;2.398956729720032
IDFM:C01096;60;IDFM:27483;Duhesme - Le Ruisseau;RATP;Paris 18e;48.89323176192272,2.3397825965750005;Paris;true;48.89323176192272;2.3397825965750005
IDFM:C01096;60;IDFM:27484;Pont Marcadet;RATP;Paris 18e;48.89050820112265,2.3548873363413576;Paris;true;48.89050820112265;2.3548873363413576
IDFM:C01097;61;IDFM:26265;René Fonck;RATP;Paris 19e;48.87850289814405,2.4090306568060784;Paris;true;48.87850289814405;2.4090306568060784
IDFM:C01097;61;IDFM:26288;Roquette - Père Lachaise;RATP;Paris 11e;48.859916770101776,2.3864246631140875;Paris;true;48.859916770101776;2.3864246631140875
