route_id;route_long_name;stop_id;stop_name;stop_lon;stop_lat;OperatorName;Pointgeo;Nom_commune
IDFM:C00839;54;IDFM:23518;Pont du Garigliano - Hôpital Européen Georges Pompidou;2.270189658525324;48.838650893777405;Transdev Senart;48.838650893777405,2.270189658525324;Paris
IDFM:C00839;54;IDFM:22792;Porte de Saint-Cloud - Murat;2.258091224873156;48.83824369831702;Transdev Senart;48.83824369831702,2.258091224873156;Paris
IDFM:C00839;54;IDFM:24000;Michel-Ange - Varize;2.2585706670907446;48.84093580014459;Transdev Senart;48.84093580014459,2.2585706670907446;Paris
IDFM:C00839;54;IDFM:33387;Porte de Versailles - Boulevard Lefebvre;2.288270024064924;48.83223937380532;Transdev Senart;48.832239373805315,2.2882700240649236;Paris
IDFM:C00839;54;IDFM:33389;Porte de Plaisance;2.295838552031233;48.829648997393605;Transdev Senart;48.829648997393605,2.295838552031233;Paris
IDFM:C00839;54;IDFM:33397;Porte d'Orléans Ernest Reyer;2.324692732704135;48.823177994063;Transdev Senart;48.823177994062995,2.324692732704135;Paris
IDFM:C01212;191;IDFM:460491;Porte de Vanves;2.3047969484850053;48.8269672963744;RATP;48.8269672963744,2.3047969484850053;Paris
IDFM:C01224;210;IDFM:29945;Tremblay - Pépinière;2.4496880457242804;48.84256123790885;RATP;48.84256123790885,2.4496880457242804;Paris
IDFM:C01224;210;IDFM:22583;Château de Vincennes;2.441954911982554;48.84453097352823;RATP;48.84453097352823,2.441954911982554;Paris
IDFM:C01229;215;IDFM:426149;Nation - Trone;2.397215660938414;48.848486924343135;RATP;48.848486924343135,2.397215660938414;Paris
IDFM:C01229;215;IDFM:37708;Nation - Diderot;2.394574137752798;48.84830270938863;RATP;48.848302709388626,2.394574137752798;Paris
IDFM:C01229;215;IDFM:25310;Pierre Bourdan;2.3903690885818145;48.84781369225737;RATP;48.84781369225737,2.3903690885818145;Paris
IDFM:C01230;216;IDFM:25722;Parc Montsouris;2.339934548991228;48.82422543245012;RATP;48.82422543245012,2.339934548991228;Paris
IDFM:C01230;216;IDFM:29857;Cité Universitaire;2.340949400542108;48.82152389787098;RATP;48.82152389787098,2.3409494005421077;Paris
IDFM:C01108;73;IDFM:483427;Marché;2.274004225714678;48.87838972603924;RATP;48.87838972603924,2.274004225714678;Paris
IDFM:C01108;73;IDFM:27224;George V;2.301707771892002;48.87149469898149;RATP;48.87149469898149,2.301707771892002;Paris
IDFM:C01109;74;IDFM:30008;Brochant - Cardinet;2.3180733862821032;48.89188702216487;RATP;48.891887022164866,2.3180733862821032;Paris
IDFM:C01109;74;IDFM:11229;Boulay;2.31595902202153;48.89295415326121;RATP;48.89295415326121,2.31595902202153;Paris
IDFM:C01109;74;IDFM:19734;Place de Clichy;2.328001671291839;48.88348047193721;RATP;48.88348047193721,2.328001671291839;Paris
IDFM:C01109;74;IDFM:42073;Blanche - Calais;2.3315945761770167;48.88190876680096;RATP;48.881908766800954,2.3315945761770167;Paris
IDFM:C01109;74;IDFM:27116;Provence - Drouot;2.3407438437524704;48.87440508562041;RATP;48.87440508562041,2.3407438437524704;Paris
IDFM:C01110;75;IDFM:24846;Général Cochet;2.394231823673693;48.88595629254472;RATP;48.88595629254472,2.394231823673693;Paris
IDFM:C01110;75;IDFM:30132;Porte Brunet;2.3946794233834425;48.88381816442405;RATP;48.88381816442405,2.3946794233834425;Paris
IDFM:C01110;75;IDFM:24856;Rhin et Danube;2.393596723247652;48.88194208743251;RATP;48.88194208743251,2.3935967232476516;Paris
IDFM:C01110;75;IDFM:40851;Mathurin Moreau - Simon Bolivar;2.3736218866801853;48.87839481327163;RATP;48.87839481327163,2.3736218866801853;Paris
IDFM:C01110;75;IDFM:40849;Grange aux Belles - Juliette Dodu;2.3687599359308784;48.8756712763731;RATP;48.8756712763731,2.3687599359308784;Paris
IDFM:C01110;75;IDFM:23642;Alibert;2.3698342327191964;48.87139609817432;RATP;48.871396098174316,2.3698342327191964;Paris
IDFM:C01110;75;IDFM:463544;Saint-Jacques - Saint-Germain;2.345218195649919;48.85035412143824;RATP;48.85035412143824,2.345218195649919;Paris
IDFM:C01110;75;IDFM:23324;Lycée Henri IV;2.348650125651669;48.846172850923374;RATP;48.846172850923374,2.348650125651669;Paris
IDFM:C01110;75;IDFM:24800;Archives - Haudriettes;2.358923263310824;48.86178714148262;RATP;48.86178714148262,2.358923263310824;Paris
IDFM:C01110;75;IDFM:30134;Mathurin Moreau - Simon Bolivar;2.374699198843077;48.878382458583225;RATP;48.878382458583225,2.3746991988430772;Paris
IDFM:C01110;75;IDFM:26268;Armand Carrel - Mairie du 19ème;2.382627731338079;48.88242562299212;RATP;48.88242562299212,2.382627731338079;Paris
IDFM:C01110;75;IDFM:24848;D'Hautpoul;2.3873922237563594;48.88311559858951;RATP;48.88311559858951,2.3873922237563594;Paris
IDFM:C01110;75;IDFM:24854;Rhin et Danube;2.393147813431978;48.88184988015305;RATP;48.88184988015305,2.393147813431978;Paris
IDFM:C01111;76;IDFM:24859;Porte de Bagnolet;2.4093912000089928;48.86474486941569;RATP;48.86474486941569,2.4093912000089928;Paris
IDFM:C01111;76;IDFM:26324;Pyrénées - Bagnolet;2.4024596669101688;48.85939535018997;RATP;48.85939535018997,2.4024596669101688;Paris
IDFM:C01111;76;IDFM:29792;Bastille - Faubourg Saint-Antoine;2.3708467097712536;48.853036801563874;RATP;48.853036801563874,2.3708467097712536;Paris
IDFM:C01111;76;IDFM:8431;Birague;2.36524848750888;48.85390658690624;RATP;48.85390658690624,2.36524848750888;Paris
IDFM:C01111;76;IDFM:26315;Charonne - Keller;2.377754670257139;48.85317185377532;RATP;48.853171853775315,2.377754670257139;Paris
IDFM:C01111;76;IDFM:26318;Charonne - Voltaire;2.3858717663056304;48.85478765327986;RATP;48.85478765327986,2.3858717663056304;Paris
IDFM:C01111;76;IDFM:22673;Pelleport - Bagnolet;2.4061644450469006;48.86201289309825;RATP;48.86201289309825,2.4061644450469006;Paris
IDFM:C01111;76;IDFM:471489;Porte de Bagnolet;2.409502487390808;48.86454756385228;RATP;48.86454756385228,2.409502487390808;Paris
IDFM:C01111;76;IDFM:37462;Echangeur de Bagnolet;2.411968196699189;48.86468561155124;RATP;48.86468561155124,2.411968196699189;Paris
IDFM:C01112;80;IDFM:26313;Bosquet - Grenelle;2.304492058314689;48.856968426738405;RATP;48.856968426738405,2.304492058314689;Paris
IDFM:C01112;80;IDFM:27488;Rond-Point des Champs-Élysées;2.308962170728917;48.86829915968325;RATP;48.86829915968325,2.308962170728917;Paris
IDFM:C01112;80;IDFM:27332;Rond-Point des Champs-Élysées - Matignon;2.311467219018174;48.869581673120194;RATP;48.869581673120194,2.311467219018174;Paris
IDFM:C01112;80;IDFM:36546;Saint-Augustin;2.321008908520175;48.87490632210591;RATP;48.87490632210591,2.321008908520175;Paris
IDFM:C01112;80;IDFM:22774;Mairie du 18e - Jules Joffrin;2.344734765110907;48.8931330572353;RATP;48.8931330572353,2.344734765110907;Paris
IDFM:C01112;80;IDFM:25940;Custine - Mont-Cenis;2.343345765637887;48.88971701209467;RATP;48.88971701209467,2.343345765637887;Paris
IDFM:C01112;80;IDFM:26342;Square Caulaincourt;2.3352334499612857;48.88953735097199;RATP;48.88953735097199,2.3352334499612857;Paris
IDFM:C01112;80;IDFM:22757;Damrémont - Caulaincourt;2.3328929890804697;48.88699722507771;RATP;48.88699722507771,2.3328929890804697;Paris
IDFM:C01112;80;IDFM:28229;Bucarest;2.324977884434762;48.881107209761566;RATP;48.881107209761566,2.324977884434762;Paris
IDFM:C01112;80;IDFM:28523;Saint-Augustin;2.321380869876477;48.87461164936902;RATP;48.87461164936902,2.321380869876477;Paris
IDFM:C01112;80;IDFM:27212;La Boétie - Miromesnil;2.3161120802403024;48.87403306654895;RATP;48.87403306654895,2.3161120802403024;Paris
IDFM:C01112;80;IDFM:37352;Bosquet - Rapp;2.302087500367699;48.86146918332006;RATP;48.86146918332006,2.302087500367699;Paris
IDFM:C01112;80;IDFM:8446;Abbé Groult;2.2962067048195864;48.84072245717756;RATP;48.84072245717756,2.2962067048195864;Paris
IDFM:C01112;80;IDFM:22768;Porte de Versailles;2.286622347275196;48.83318289697564;RATP;48.83318289697564,2.286622347275196;Paris
IDFM:C01114;82;IDFM:8433;Luxembourg;2.340201843242345;48.84723276998356;RATP;48.84723276998356,2.340201843242345;Paris
IDFM:C01114;82;IDFM:36741;Duroc;2.3161845231965947;48.84774544654616;RATP;48.847745446546156,2.3161845231965947;Paris
IDFM:C01114;82;IDFM:37379;Vauban - Hôtel des Invalides;2.311510693692434;48.85391523030933;RATP;48.85391523030933,2.311510693692434;Paris
