Geo Point;Geo Shape;nom_long;res_com;indice_lig;mode;tertrain;terrer;termetro;tertram;terval;exploitant;picto ligne;latitude;longitude
48.84221841361353,2.329008926235403;"{""coordinates"": [2.329008926235403, 48.84221841361353], ""type"": ""Point""}";Vavin;METRO 4;4;METRO;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/40edb03ba8639ac2542ee899469bacdb;48.84221841361353;2.329008926235403
48.92310377966602,2.2862795775297826;"{""coordinates"": [2.286279577529783, 48.92310377966602], ""type"": ""Point""}";Les Agnettes;METRO 13;13;METRO;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/1abb1d47991fd6f6cb130b89715ad9f1;48.92310377966602;2.2862795775297826
48.863610937645674,2.2875801625296517;"{""coordinates"": [2.287580162529652, 48.863610937645674], ""type"": ""Point""}";Trocadéro;METRO 6;6;METRO;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/57c723464a2a0862aa51d73d8a09eff0;48.86361093764568;2.287580162529652
48.79648308455054,2.3682695400496945;"{""coordinates"": [2.368269540049694, 48.79648308455054], ""type"": ""Point""}";Villejuif Paul Vaillant-Couturier;METRO 7;7;METRO;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a;48.79648308455054;2.3682695400496945
48.897402222898094,2.344847748752399;"{""coordinates"": [2.344847748752399, 48.897402222898094], ""type"": ""Point""}";Porte de Clignancourt;METRO 4;4;METRO;0;0;METRO 4;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/40edb03ba8639ac2542ee899469bacdb;48.897402222898094;2.344847748752399
48.88094656356074,2.3649934724001813;"{""coordinates"": [2.364993472400181, 48.88094656356074], ""type"": ""Point""}";Louis Blanc;METRO 7;7;METRO;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a;48.88094656356074;2.3649934724001813
48.881192119070995,2.364378741179748;"{""coordinates"": [2.364378741179748, 48.881192119070995], ""type"": ""Point""}";Louis Blanc;METRO 7bis;7b;METRO;0;0;METRO 7bis;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/53a6369ab3772b0115d7c675f45329d2;48.881192119071;2.364378741179748
48.809144361835415,2.4345098959239406;"{""coordinates"": [2.434509895923941, 48.809144361835415], ""type"": ""Point""}";Maisons-Alfort-Stade;METRO 8;8;METRO;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/fc7c7039b5a3e79675aeb4d59dce6f51;48.809144361835415;2.4345098959239406
48.85855382636669,2.342232759368107;"{""coordinates"": [2.342232759368107, 48.85855382636669], ""type"": ""Point""}";Pont Neuf;METRO 7;7;METRO;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a;48.85855382636669;2.342232759368107
48.88796756174982,2.3734568878525493;"{""coordinates"": [2.373456887852549, 48.88796756174982], ""type"": ""Point""}";Riquet;METRO 7;7;METRO;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/0b6c43f2294318bf37466cef3a6c001a;48.88796756174982;2.3734568878525493
48.86147646373029,2.373943508245182;"{""coordinates"": [2.373943508245182, 48.86147646373029], ""type"": ""Point""}";Saint-Ambroise;METRO 9;9;METRO;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/78e78b6d779fd1700a65a68abe9b1b7a;48.86147646373029;2.373943508245182
48.8971540959649,2.280413812210846;"{""coordinates"": [2.280413812210846, 48.8971540959649], ""type"": ""Point""}";Pont de Levallois;METRO 3;3;METRO;0;0;METRO 3;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/f78ce6bd7997c9c645e25ebdc320ff0a;48.8971540959649;2.280413812210846
48.82716361789553,2.367173024477846;"{""coordinates"": [2.367173024477846, 48.82716361789553], ""type"": ""Point""}";Olympiades;METRO 14;14;METRO;0;0;METRO 14;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/9bca75433eb738dae9e4d3657b7a3de5;48.82716361789553;2.367173024477846
48.92078596906289,2.410598616469426;"{""coordinates"": [2.410598616469426, 48.92078596906289], ""type"": ""Point""}";La Courneuve 8 Mai 1945;TRAM 1;1;TRAMWAY;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/dc9070ea3c17f6fad088a5ae8662c6d4;48.92078596906289;2.410598616469426
48.82741485955381,2.306635926501743;"{""coordinates"": [2.306635926501743, 48.82741485955381], ""type"": ""Point""}";Porte de Vanves;TRAM 3a;3A;TRAMWAY;0;0;0;0;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/503e55ae906ef2c635f866cebaf92614;48.82741485955381;2.306635926501743
48.83187246749725,2.287207137822909;"{""coordinates"": [2.287207137822909, 48.83187246749725], ""type"": ""Point""}";Porte de Versailles;TRAM 2;2;TRAMWAY;0;0;0;TRAM 2;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/6adc5920dae46cc3393723124d9e7886;48.83187246749725;2.287207137822909
48.847393890496086,2.40965605640417;"{""coordinates"": [2.40965605640417, 48.847393890496086], ""type"": ""Point""}";Porte de Vincennes;TRAM 3b;3B;TRAMWAY;0;0;0;TRAM 3B;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/39d54fc2c94b449e0465945c28663987;48.847393890496086;2.40965605640417
48.84694815185174,2.409551429787372;"{""coordinates"": [2.409551429787372, 48.84694815185174], ""type"": ""Point""}";Porte de Vincennes;TRAM 3a;3A;TRAMWAY;0;0;0;TRAM 3A;0;RATP;https://data.iledefrance-mobilites.fr/api/v2/catalog/datasets/emplacement-des-gares-idf/files/503e55ae906ef2c635f866cebaf92614;48.84694815185174;2.409551429787372
