poi_name;poi_geo;description_fr;sportsolympiquesencompetition_fr;urlredirection_fr;latitude;longitude
Centre Aquatique;48.92356,2.35538;Situé à proximité du Stade de France à une 10aine de km au nord de Paris. Nouveau centre qui permettra d'accueillir les plus grandes compétitions nationales et internationales de natation.;Plongeon,Water-polo,Natation artistique;https://olympics.com/fr/paris-2024/sites/centre-aquatique/;48.92356;2.35538
Arena Bercy;48.83874,2.37878;Aussi connu sous le nom de Accor Arena. Il est situé dans le 12e arrondissement de Paris et accueille à la fois les grands événements culturels et sportifs de la capitale.;Basketball(Finales),Trampoline,Gymnastique artistique;https://olympics.com/fr/paris-2024/sites/arena-bercy;48.83874;2.37878
Colline d'Elancourt;48.79061,1.96379;Située à une 40aine de km à l'ouest de Paris, cette colline artificielle accueille les tracés des épreuves de VTT. Son sommet offre une vue imprenable sur la Tour Eiffel, la Défense et les forêts environnant Paris.;Cyclisme VTT;https://olympics.com/fr/paris-2024/sites/colline-d-elancourt;48.79061;1.96379
Invalides;48.86035,2.31317;Vaste espace vert, situé dans le 7e arrondissement de Paris, l’Esplanade est située face au majestueux Hôtel des Invalides.;Athlétisme - Marathon (Arrivée),Tir à l'arc,Cyclisme sur route - Contre-la-montre (Départ);https://olympics.com/fr/paris-2024/sites/invalides;48.86035;2.31317
Le Golf National;48.75473,2.0763;Situé dans les Yvelines, à une 40aine de km au sud-ouest de Paris, ce Golf est utilisé lors des grandes compétitions internationales, comme la Ryder Cup en 2018.;Golf;https://olympics.com/fr/paris-2024/sites/le-golf-national;48.75473;2.0763
Arena Paris Nord;48.97261,2.51484;Aussi connu sous le nom de Parc des expositions de Villepinte. Situé en Seine-Saint-Denis à une 20aine de km au nord de Paris. Avec neuf halls d’exposition, il s’agit du plus grand parc d’expositions en France.;Boxe (Phases préliminaires),Pentathlon moderne;https://olympics.com/fr/paris-2024/sites/arena-paris-nord;48.97261;2.51484
Parc des Princes - Portes A à G;48.84122058,2.253689097;Situé au sud-ouest de Paris (16e). Grand stade accueillant des matchs, des grandes compétitions de football et rugby, et des concerts.;Football;https://olympics.com/fr/paris-2024/sites/parc-des-princes;48.84122058;2.253689097
Arena Paris Sud Hall 4;48.830184,2.289033;Fait partie de Paris Expo Porte de Versailles, centre d’exposition et de convention, située au Sud de Paris (15e). Il accueille tout au long de l’année des salons, foires et conventions.;Tennis de table;https://olympics.com/fr/paris-2024/sites/arena-paris-sud;48.830184;2.289033
Stade Nautique de Vaires-sur-Marne - Bassin Eaux Calmes;48.865,2.628056;Situé sur l’île de loisirs de Vaires-Torcy à une 30aine de km à l'est de Paris. Ce pôle sportif comprend un lac, un nouveau stade d’eau vive et le plateau vif.;Canoë sprint,Aviron;https://olympics.com/fr/paris-2024/sites/stade-nautique-de-vaires-sur-marne;48.865;2.628056
Club France;48.89169378,2.391305363;Les athlètes olympiques et paralympiques français, unis au sein de la même équipe, seront honorés dans un lieu : le Club France, situé dans la Grande Halle de la Villette.;;https://olympics.com/fr/paris-2024/les-jeux/celebration/club-france;48.89169378;2.391305363
Paris La Défense Arena;48.89568,2.22963;Situé à proximité du quartier d'affaire de la Défense à une 10aine de km à l'ouest de paris. Cette salle, accueillant les spectacles des plus grands artistes internationaux, des conventions et matchs, est transformée en piscine olympique.;Water-polo,Natation;https://www.paris2024.org/fr/site/paris-la-defense-arena/;48.89568;2.22963
Grand Palais;48.86613,2.31223;Situé au cœur de Paris, ce site iconique accueille chaque année de nombreuses expositions d’artistes du monde entier et était par exemple le théâtre des Championnats du monde d’escrime, en 2010.;Taekwondo,Escrime;https://olympics.com/fr/paris-2024/sites/grand-palais;48.86613;2.31223
Site d'escalade du Bourget;48.93761,2.41908;Situé à environ 7 km au nord-est de paris, le complexe sportif du Bourget a été rénové et aménagé temporairement avec six murs d’escalade.;Escalade sportive;https://olympics.com/fr/paris-2024/sites/site-d-escalade-bourget;48.93761;2.41908
Stade de France;48.92447,2.36006;Situé à une 10aine de km au nord de Paris, à proximité du centre nautique. Cette Arena multisports, le plus grand de l'hexagone, a accueilli les plus grands événements sportifs et culturels organisés en France.;Rugby à 7,Cérémonie de clôture,Athlétisme;https://olympics.com/fr/paris-2024/sites/stade-de-france;48.92447;2.36006
Trocadéro - Marche et Cyclisme;48.8603968,2.2909845;Face à la tour Eiffel, le Trocadéro est un des points touristiques par excellence de Paris. Pendant les Jeux, il offrira un point de vue et une expérience exceptionnelle aux spectateurs des différentes épreuves.;Athlétisme - Marche,Cyclisme sur route - Course en ligne;https://olympics.com/fr/paris-2024/sites/trocadero;48.8603968;2.2909845
Stade Yves-du-Manoir;48.9294,2.2477;Situé a une 15aine de km au nord-ouest de paris. Ce Stade a déjà accueilli les JO en 1924 pour la cérémonie d’ouverture et les épreuves d’athlétisme.;Hockey sur gazon;https://olympics.com/fr/paris-2024/sites/stade-yves-du-manoir;48.9294;2.2477
Hôtel de Ville;48.8559765,2.3531455;La place de l’Hôtel de ville, lieu emblématique et site de festivités de la ville de Paris sera aussi le départ de la plus mythique des courses de fond olympiques, le marathon.;Athlétisme - Marathon (Départ);https://olympics.com/fr/paris-2024/sites/hotel-de-ville;48.8559765;2.3531455
