dcat.created;dcat.issued;dcat.creator;dcat.contributor;dcat.contact_name;dcat.contact_email;dcat.accrualperiodicity;dcat.spatial;dcat.temporal;dcat.granularity;dcat.dataquality;dcat.publisher_type;dcat.conforms_to;dcat.temporal_coverage_start;dcat.temporal_coverage_end;dcat.accessRights;default.title;default.description;default.theme;default.keyword;default.license;default.license_url;default.language;default.metadata_languages;default.timezone;default.modified;default.modified_updates_on_metadata_change;default.modified_updates_on_data_change;default.data_processed;default.metadata_processed;default.geographic_reference;default.geographic_reference_auto;default.territory;default.geometry_types;default.bbox;default.publisher;default.references;default.records_count;default.attributions;default.source_domain;default.source_domain_title;default.source_domain_address;default.source_dataset;default.shared_catalog;default.federated;default.oauth_scope;default.parent_domain;custom.cgu;custom.plateforme-de-paiement;custom.id-produit;custom.account-id;datasetid
;;;;;;Semestrielle;;;;;;;;;;Validations sur le réseau ferré : Nombre de validations par jour (1er semestre 2023);"<p style=""background-color: #68b7e7 ; color : white"">Les données de validations sont mises à jour fin février et fin août.</p>

<p>Ce jeu de données présente le nombre de validations des voyageurs par jour par arrêt et par titre de transport sur le réseau ferré.</p><hr/>

<p>
<strong>Mise à jour des données</strong></p>
<p>Les données sont mises à jour de manière semestrielle.</p>
La documentation et les informations du jeu de données peuvent être mis à jour plus régulièrement.
<hr/>
<p>
<strong>Documentation</strong></p><p>
	 	Une  documentation relative aux données de validation est disponible :</p><p>
<a href=""https://eu.ftp.opendatasoft.com/stif/Validations/Documentation/Donnees_de_validation.pdf"">Consulter la documentation sur les données de validation</a></p><hr/>
<p>
<strong>Les jeux des données de validation</strong></p>

<p>Pour avoir accès aux données de validation des années précédentes et aux autres jeux de données de validation, vous pouvez consulter l'<a ""="""" href=""https://data.iledefrance-mobilites.fr/explore/dataset/histo-validations"" target=""_blank"">historique des données de validation</a>.</p>
<hr/>";Fréquentation mesurée;Validations télébillettiques;Licence ODbL Version Française;https://doc.transport.data.gouv.fr/le-point-d-acces-national/cadre-juridique/conditions-dutilisation-des-donnees/licence-odbl;fr;fr;;2024-01-10T08:56:53+00:00;True;True;2023-09-18T14:05:28+00:00;2024-01-10T08:56:57.387000+00:00;fr_40_11;True;Île-de-France;;;Île-de-France Mobilités;;1096209;;;;;;;False;;;;;;;validations-reseau-ferre-nombre-validations-par-jour-1er-semestre
2016-04-01;2016-06-23;;;;;Annuelle;;;;;;;;;;Tracés schématiques du réseau de transport ferré d'Ile-de-France (grand format);"<p>
	Couche schématique décrivant le tracé des lignes de Train, de RER, de  métro, de tramways, de val et de funiculaire ouvertes  aux voyageurs en  Île-de-France (grand format).
</p>
<hr/>
<p>
	<strong>Généalogie</strong>
</p>
<p>
	Donnée créée pour Ile-de-France Mobilités à partir des données géographiques.
</p>
<hr/>
<p>
	<strong>Qualité</strong>
</p>
<p>
	L'emplacement des tracés ferrés n'a pas de valeur géographique. En revanche, le positionnement relatif des objets entre eux est respecté autant que possible afin de permettre aux utilisateurs un repérage par rapport aux éléments connus.
</p>
<hr/>
<p>
	<strong>Autres couches schématiques disponibles</strong>
</p>
<ul>
	<li><a href=""http://opendata.stif.info/explore/dataset/schema_trace_fermetrotram-gf/"">Tracés schématiques du réseau de transport ferré d'Ile-de-France (grand format)</a></li>
	<li><a href=""http://opendata.stif.info/explore/dataset/schema_gares-gf/"">Gares et stations du réseau ferré schématique d'Île-de-France (grand format)</a></li>
	<li><a href=""http://opendata.stif.info/explore/dataset/schema_trace-fer-pf/"">Tracés schématiques du réseau de transport ferré d'Ile-de-France (petit format)</a></li>
	<li><a href=""http://opendata.stif.info/explore/dataset/schema_gares-pf/"">Gares et stations du réseau ferré schématique d'Île-de-France (petit format)</a></li>
</ul>
<hr/>
<p>
	<strong>Historique des modifications</strong>
</p>
<p>2023</p>
<ul><li>Juin 2023 : Ajout de la nouvelle ligne TRAM 10 de La Croix de Berny à Jardin Parisien</li></ul>
<p>2022</p>
<ul><li>Juillet 2022 : Ajout de la nouvelle ligne TRAM 13 de Saint-Germain-en-Laye à Saint-Cyr</li>
<li>Juin 2022 : Ajout du prolongement du METRO 12 à Mairie d'Aubervilliers</li>
<li>Janvier 2022 : Ajout du prolongement du METRO 4 à Bagneux - Lucie Aubrac</li></ul>
<p>2021</p>
<ul><li>Avril 2021 : Ajout de la nouvelle ligne TRAM 9 de Porte de Choisy à Orly Ville</li></ul>
<p>2020</p>
<ul><li>Janvier 2020 : Ajout du prolongement de TRAM 1 vers Quatre Routes et de TRAM 4 vers Arboretum (ouverture vers Hôpital de Montfermeil au printemps 2020).</li></ul>
<p>2018</p>
	<ul><li>Novembre 2018 : Ajout du tracé du prolongement de la ligne TRAM 3b, de Porte de la Chapelle à Porte d'Asnières-Marguerite Long ; Reprise des modifications du tracé de la ligne RER D autour de Corbeil Essonnes.</li>
	<li>Mars 2018 : reprise du tracé de la ligne TRAIN U, avec amélioration de l'accrochage (snapping) aux gares.
	</li></ul>
<p>2017</p>
<ul><li>Juillet 2017 : ajout de la ligne TRAM 11, incluant le décalage de lignes proches au Nord de l'Ile-de-France ; ajout de la colonne IDREFLIGC, contenant l'identifiant commercial de la ligne.
</li></ul>";Lignes;Réseau ferré,Schématique;Licence Ouverte v2.0 (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2024-01-17T08:45:57+00:00;True;True;2024-01-17T08:45:57+00:00;2024-01-17T08:45:57.184000+00:00;world;True;World;LineString,MultiLineString;"{""coordinates"": [[[-1.3587951008230448, -5.979781276546419], [-1.363230301067233, -5.979781276546419], [-1.363230301067233, -5.98379323258996], [-1.3587951008230448, -5.98379323258996], [-1.3587951008230448, -5.979781276546419]]], ""type"": ""Polygon""}";Île-de-France Mobilités;;1514;;;;;;;False;;;;;;;schema_trace_fermetrotram-gf
2016-04-01;2016-06-23;;;;;Annuelle;;;;;;;;;;Gares et stations du réseau ferré schématique d'Île-de-France (grand format);"<p>
	Couche schématique décrivant, par ligne, les gares de Train et de RER, les stations de métro, de tramways, de val et de funiculaire ouvertes aux voyageurs en Île-de-France.
</p>
<hr/>
<p>
	<strong>Généalogie</strong>
</p>
<p>
	Donnée créée pour Ile-de-France Mobilités à partir des données géographiques.
</p>
<hr/>
<p>
	<strong>Qualité</strong>
</p>
<p>
	L'emplacement des gares et station en schématique n'a pas de valeur géographique. En revanche, le positionnement relatif des objets entre eux est respecté autant que possible afin de permettre aux utilisateurs un repérage par rapport aux éléments connus.
</p>
<hr/>
<p>
	<strong>Autres couches schématiques disponibles</strong>
</p>
<ul>
	<li><a href=""http://opendata.stif.info/explore/dataset/schema_trace_fermetrotram-gf/"" target=""_blank"">Tracés schématiques du réseau de transport ferré d'Ile-de-France (grand format)</a></li>
	<li><a href=""http://opendata.stif.info/explore/dataset/schema_gares-gf/"" target=""_blank"">Gares et stations du réseau ferré schématique d'Île-de-France (grand format)</a></li>
	<li><a href=""http://opendata.stif.info/explore/dataset/schema_trace-fer-pf/"" target=""_blank"">Tracés schématiques du réseau de transport ferré d'Ile-de-France (petit format)</a></li>
	<li><a href=""http://opendata.stif.info/explore/dataset/schema_gares-pf/"" target=""_blank"">Gares et stations du réseau ferré schématique d'Île-de-France (petit format)</a></li>
</ul>
<hr/>
<p>
	<strong>Historique des modifications</strong>
</p>
<p>2023</p>
<ul><li>Juin 2023 : Ajout de la nouvelle ligne TRAM 10 de La Croix de Berny à Jardin Parisien</li></ul>
<p>2022</p>
<ul><li>Juillet 2022 : Ajout de la nouvelle ligne TRAM 13 de Saint-Germain-en-Laye à Saint-Cyr</li>
<li>Juin 2022 : Ajout du prolongement du METRO 12 à Mairie d'Aubervilliers</li>
<li>Janvier 2022 : Ajout du prolongement du METRO 4 à Bagneux - Lucie Aubrac</li></ul>
<p>2021</p>
<ul><li>Avril 2021 : Ajout de la nouvelle ligne TRAM 9 de Porte de Choisy à Orly Ville + nouvelle dénomination des modes (TRAM 1, METRO 14, RER A, TRAIN H...)</li></ul>

<p>2020</p>
<ul><li>Janvier 2020 : Ajout du prolongement de TRAM 1 vers Quatre Routes et de TRAM 4 vers Arboretum (ouverture vers Hôpital de Montfermeil au printemps 2020)</li></ul>

<p>2019</p><ul><li>Mars 2019 : Modification du nom des stations de l'Orlyval ""Aéroport Orly 1-2-3"" et ""Aéroport Orly 4"".</li></ul>

<p>2018</p>
<ul><li>Novembre 2018 : Ajout des stations du prolongement de la ligne TRAM 3b, de Porte de la Chapelle à Porte d'Asnières-Marguerite Long ; Reprise des modifications du tracé de la ligne RER D autour de Corbeil Essonnes.</li></ul>

<p>2017</p>
<ul><li>Juillet 2017 : ajout des arrêts de la ligne TRAM 11, incluant le décalage des arrêts des lignes proches au Nord de l'Ile-de-France.</li></ul>";Arrêts;Réseau ferré,Schématique;Licence Ouverte v2.0 (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2024-01-17T08:39:22+00:00;True;True;2024-01-17T08:39:22+00:00;2024-01-17T08:39:22.686000+00:00;world;True;World;Point;;Île-de-France Mobilités;;1216;;;;;;;False;;;;;;;schema_gares-gf
;;;;;;Trimestrielle;;;;;;;;;;Stationnement vélo en Île-de-France;"<p>
	Couche géographique décrivant les emplacements de stationnement pour vélo en Île-de-France : arceaux, râtelier, stations Véligo...</p><p></p><hr>
	<strong>Généalogie</strong><p></p><p>
	Ces données sont issues du crowdsourcing effectué par les contributeurs au projet OpenStreetMap et sont sous licence ODbL et la mention d'attribution doit être ""© les contributeurs d'OpenStreetMap sous licence ODbL"" conformément à 
	<a href=""https://www.openstreetmap.org/copyright"">http://osm.org/copyright</a>
	<br>
	Dans le cadre du recensement des aménagements cyclables par Île-de-France Mobilités, ces données ont été complétées et vérifiées. Elles ont également été converties dans un format et un modèle de données directement utilisable dans un SIG. Travail en partenariat avec Géovélo et Carto'Cité.
	<br>
		Plus d'informations : 
	<a href=""https://www.iledefrance-mobilites.fr/actualites/pour-une-meilleure-connaissance-des-amenagements-cyclables-en-ile-de-france/"" target=""_blank"" title=""lien vers le site Île-de-France Mobilités"">site d'Île-de-France Mobilités</a> | <a href=""https://wiki.openstreetmap.org/wiki/WikiProject_France/V%C3%A9lo_en_%C3%8Ele-de-France"" target=""_blank"" title=""lien vers le site wikiosm"">site wikiprojet OSM</a> | <a href=""https://carto-velo.iledefrance-mobilites.fr"" target=""_blank"" title=""lien vers le portail"">site portail</a></p><hr><p>
	<strong>Qualité</strong></p><p>
	La modélisation des stationnements vélo est discutée entre les utilisateurs d'OpenStreetMap. Le modèle est consultable sur 
	<a href=""https://wiki.openstreetmap.org/wiki/FR:Key:bicycle_parking"" target=""_blank"" title=""voir le modèle de donnée"">cette page</a>.
	<br>
	Les attributs retenus sont les suivants :</p>
<table>
<tbody>
<tr>
	<td>
		arceau
	</td>
	<td>
		Arceaux à vélos. L'appui du vélo (et son verrouillage)
sur la barre en métal sont possibles
	</td>
</tr>
<tr>
	<td>
		ratelier
	</td>
	<td>
		Râtelier à vélo appelé aussi ""pince roue""
	</td>
</tr>
<tr>
	<td>
		ancrage
	</td>
	<td>
		Un seul ancrage, cloué à un mur, au sol, ou à un rocher
	</td>
</tr>
<tr>
	<td>
		casier
	</td>
	<td>
		Solution de stationnement qui prend la forme de vestiaires individuels verrouillés (sécurisés par clé ou combinaison)
	</td>
</tr>
<tr>
	<td>
		abri
	</td>
	<td>
		Abri dédié dans lequel plusieurs vélos peuvent être rangés, éventuellement avec des râteliers individuels à l'intérieur
	</td>
</tr>
<tr>
	<td>
		batiment
	</td>
	<td>
		Un bâtiment dédié au stationnement des vélos
	</td>
</tr>
<tr>
	<td>
		autre
	</td>
	<td>
		Autres type de stationnement
	</td>
</tr>
<tr>
	<td>
		inconnu
	</td>
	<td>
		Le type de stationnement n’est pas connu
	</td>
</tr>
<tr>
	<td colspan=""2"">
		Plus d'information sur l'utilisation de la donnée : <a href=""https://opendata.stif.info/api/datasets/1.0/stationnement-velo-en-ile-de-france/attachments/metadonnees_stationnement_velo_en_ile_de_france_pdf/"">document PDF</a>
	</td>
</tr>
</tbody>
</table>

<p> </p>
<hr>
<strong>Historique des modifications</strong>
<p><br></p><p>2024</p><ul><li>Avril 2024 : Mise à jour de la donnée</li><li>Janvier 2024 : Mise à jour de la donnée</li></ul><p></p><p>2023</p><ul><li>Avril 2023 : Mise à jour de la donnée</li></ul><p>2022</p>
<ul>
<li>Octobre 2022 : Mise à jour de la donnée</li>
<li>Août 2022 : Mise à jour de la donnée</li>
<li>Janvier 2022 : Mise à jour de la donnée</li>
</ul>
<p>2021</p>
<ul>
<li>Octobre 2021 : Mise à jour de la donnée</li>
<li>Août 2021 : Mise à jour de la donnée</li>
<li>Mars 2021 : Mise à jour de la donnée</li></ul>
<p>2020</p>
<ul>
<li>Décembre 2020 : Mise à jour de la donnée</li>
<li>Septembre 2020 : Mise à jour de la donnée</li>
<li>Juin 2020 : Mise à jour de la donnée</li>
<li>Février 2020 : Mise à jour de la donnée</li>
</ul>
<p>2019</p>
<ul>
<li>Octobre 2019 : Mise à jour de la donnée</li>
<li>Juin 2019 : Mise à jour de la donnée</li>
<li>Janvier 2019 :	Initialisation de la donnée</li>
</ul><p></p><p></p>
<hr>";Vélos & Nouvelles mobilités;Vélo,Stationnement;Licence ODbL Version Française;https://doc.transport.data.gouv.fr/le-point-d-acces-national/cadre-juridique/conditions-dutilisation-des-donnees/licence-odbl;fr;fr;;2024-04-30T08:19:38+00:00;True;True;2024-04-30T08:19:38+00:00;2024-04-30T08:19:38.240000+00:00;fr_40_11;True;Île-de-France;Point;;© Les contributeurs OpenStreetMap;;21743;;;;;;;False;;;;;;;stationnement-velo-en-ile-de-france
2015-06-12;;;;;;Hebdomadaire;;;;;;;;;;Référentiel des arrêts : fichiers SIG;"<p>Ce jeu de données propose l'ensemble des objets du référentiel des arrêts d'Île-de-France ainsi qu'une carte permettant de visualiser l'arborescence des objets.</p><p>Les différentes données sont :</p><ul><li>les Arrêts de référence (ArR) : <i>REF_ArR.zip</i></li></ul><ul><li>les Zones d'arrêt (ZdA) auxquelles elles sont reliées : <i>REF_ZdA.zip</i></li></ul><ul><li>les Zones de correspondance (ZdC) auxquelles elles sont reliées : <i>REF_ZdC.zip</i></li></ul>

<hr/>

<p><strong>Documentation</strong></p>
<p>Une  documentation relative aux référentiels de transport d’Île-de-France Mobilités est disponible.
</p><ul><li><a href=""https://eu.ftp.opendatasoft.com/stif/Documentation/2023_idfm_referentiels.pdf"" target=""_blank"">Consulter la documentation sur les référentiels</a></li></ul>

<hr/>
<p><strong>Autres jeux de données du référentiel des arrêts</strong></p><ul><li><a href=""https://data.iledefrance-mobilites.fr/explore/dataset/arrets/information/"">Arrêts</a></li><li><a href=""https://data.iledefrance-mobilites.fr/explore/dataset/arrets-transporteur/information/"">Arrêts Transporteurs</a></li><li><a href=""https://data.iledefrance-mobilites.fr/explore/dataset/acces/information/"">Accès</a></li><li><a href=""https://data.iledefrance-mobilites.fr/explore/dataset/zones-d-arrets/information/"">Zone d'arrêts</a></li><li><a href=""https://data.iledefrance-mobilites.fr/explore/dataset/zones-de-correspondance/information/"">Zones de correspondance</a></li><li><a href=""https://data.iledefrance-mobilites.fr/explore/dataset/poles-d-echange/information/"">Pôles d'échange</a></li><li><a href=""https://data.iledefrance-mobilites.fr/explore/dataset/relations/information/"">Relations</a></li><li><a href=""https://data.iledefrance-mobilites.fr/explore/dataset/relations-acces/information/"">Relations accès</a></li><li><a href=""https://data.iledefrance-mobilites.fr/explore/dataset/referentiel-arret-tc-idf/information/"">Fichiers SIG</a></li></ul>
<hr/>  ";Arrêts;Référentiel,Arrêts;Licence Ouverte v2.0 (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2024-05-15T01:00:02+00:00;True;True;2024-05-15T01:00:02+00:00;2024-05-15T01:00:02.772000+00:00;fr_40_11;True;Île-de-France;;;Île-de-France Mobilités;;3;;;;;;;False;;;;;;;referentiel-arret-tc-idf
;;;;;;Trimestrielle;;;;;;;;;;Schéma directeur d'accessibilité programmée : Lignes de bus inscrites;"<p style=""font-family: sans-serif;"">Ce jeu de données liste l'ensemble de lignes de bus inscrites au SDAP. Il est compatible avec le jeu de données <a href=""https://data.iledefrance-mobilites.fr/explore/dataset/referentiel-des-lignes/information/"">« Référentiel des lignes de transport en commun d’île-de-France » </a>et il en reprend les identifiants.<br/></p><hr/><p style=""font-family: sans-serif;""><span style=""font-weight: bolder;"">Détails :</span></p><ul><li>Ce jeu de données reprend les noms de champs du Référentiel des lignes. </li></ul>";Lignes,Accessibilité;Bus,Accessibilité;Licence ODbL Version Française;https://doc.transport.data.gouv.fr/le-point-d-acces-national/cadre-juridique/conditions-dutilisation-des-donnees/licence-odbl;;;;2024-04-01T08:59:19+00:00;True;True;2024-04-01T08:59:19+00:00;2024-04-01T08:59:19.612000+00:00;fr_40_11;True;Île-de-France;;;Île-de-France Mobilités;;872;;;;;;;False;;;;;;;sdap-lignes-bus-inscrites
;;;;;;;;;;;;;;;;Toilettes publiques dans le réseau RATP;"<p style=""background-color: #68b7e7 ; color : white"">
Le présent jeu de données est une reprise des données publiées sur l'Open Data RATP. Ces données ne seront accessibles que sur l'Open Data d'Île-de-France Mobilités et sur le portail <a href=""https://prim.iledefrance-mobilites.fr/fr/catalogue-data?type=Statique"">PRIM</a> à partir de septembre</p>.
<p>Ce jeu de données contient la liste des toilettes accessibles au public depuis le réseau RATP, en précisant les conditions d'accès (gratuit / payant), la localisation en zone de contrôlée ou pas, et l'accessibilité aux personnes à mobilité réduite (PMR). La localisation des sanitaires est approximative.</p>
<hr/>";Arrêts,Lignes;RATP;Licence ODbL Version Française;https://doc.transport.data.gouv.fr/le-point-d-acces-national/cadre-juridique/conditions-dutilisation-des-donnees/licence-odbl;;;;2024-01-10T09:15:15+00:00;True;True;2023-12-26T11:47:07+00:00;2024-01-10T09:15:19.083000+00:00;;False;;Point;"{""coordinates"": [[[2.7822596859186888, 48.9307430293411], [2.0706001482903957, 48.9307430293411], [2.0706001482903957, 48.69818586856127], [2.7822596859186888, 48.69818586856127], [2.7822596859186888, 48.9307430293411]]], ""type"": ""Polygon""}";RATP;https://data.ratp.fr/explore/dataset/sanitaires-reseau-ratp/information/;48;;;;;;;False;;;;;;;sanitaires-reseau-ratp
;;;;;;;;;;;;;;;;Tracés des lignes régulières commerciales de bus en Ile-de-France;"<p><span style=""font-family: inherit; font-size: 0.875rem;"">Couche géographique décrivant les itinéraires des lignes commerciales régulières de bus en Île-de-France, autorisées à circuler par Île-de-France Mobilités.</span><br></p>
<hr>
<p><strong>Généalogie</strong></p>
La ""ligne commerciale"" décrit la ligne telle que perçue sur le terrain par le voyageur. En gestion interne à Ile-de-France Mobilités, elle est rattachée à une ""ligne administrative"" qui englobe une à plusieurs lignes commerciales. Les attributs permettent de faire le lien.
<br>La mise à jour des lignes est réalisée progressivement. Un décalage entre la donnée et le terrain peut être observé.
<hr>
<p><strong>Qualité</strong></p>
<p>La date de valeur de l'objet permet d'appréhender la validité de l'itinéraire de ligne proposé.
Le référentiel routier d'OpenStreetMap est utilisé pour la création des lignes (© Les contributeurs OpenStreetMap).</p>
<hr>
<p><strong>Historique des modifications</strong></p>
<p>
</p><ul>
<li><span lang=""FR"" style='font-size:10.5pt;font-family:
inherit;mso-fareast-font-family:""Times New Roman"";mso-bidi-font-family:Calibri;
color:#25303B;mso-ligatures:none;mso-ansi-language:FR;mso-fareast-language:
FR;mso-bidi-language:AR-SA'>Avril 2024 : mise à jour du tracé des lignes et des
attributs (sur la base du GTFS du 21/02/2024)</span><br></li><li>Février 2024 : mise à jour du tracé des lignes et des attributs.</li><li>Juin 2022 : mise à jour du tracé des lignes et des attributs.</li>
<li>février 2022 : mise à jour du tracé des lignes et reprise du nom des champs.</li>
<li>mars 2020 : initialisation de la donnée, en remplacement de la donnée précédente des lignes administratives.
</li></ul>
<hr><p></p>";Lignes;Bus;Licence ODbL Version Française;https://doc.transport.data.gouv.fr/le-point-d-acces-national/cadre-juridique/conditions-dutilisation-des-donnees/licence-odbl;fr;fr;;2024-04-30T08:10:21+00:00;True;True;2024-04-30T08:09:35+00:00;2024-04-30T08:10:24.440000+00:00;world_fr;True;France;LineString,MultiLineString;"{""coordinates"": [[[3.560615284368396, 49.22923106700182], [1.3420165423303843, 49.22923106700182], [1.3420165423303843, 48.13079757615924], [3.560615284368396, 48.13079757615924], [3.560615284368396, 49.22923106700182]]], ""type"": ""Polygon""}";Île-de-France Mobilités;;1860;© Les contributeurs OpenStreetMap;;;;;;False;;;;;;;traces-des-lignes-regulieres-de-bus-en-ile-de-france
;;;;;;Quotidienne;;;;;;;;;;Référentiel des arrêts : Zones de correspondance;"<p> Ce jeu de données propose les zones de correspondance du référentiel des arrêts d'Île-de-France. Cela représente les zones multimodales où les correspondances piétonnes entre les arrêts sont implicites (temps de déplacement piéton raisonnable).</p>


<hr/>

<p><strong>Documentation</strong></p>
<p>Une documentation relative aux référentiels de transport d’Île-de-France Mobilités est disponible.</p>

<ul><li><a href=""https://eu.ftp.opendatasoft.com/stif/Documentation/2023_idfm_referentiels.pdf"" target=""_blank"">Consulter la documentation sur les référentiels</a></li></ul>
<hr/>
<p><strong>Autres jeux de données du référentiel des arrêts</strong></p><p>
</p><ul>
<li><a href=""https://data.iledefrance-mobilites.fr/explore/dataset/arrets/information/"">Arrêts</a></li><li><a href=""https://data.iledefrance-mobilites.fr/explore/dataset/arrets-transporteur/information/"">Arrêts Transporteurs</a></li><li><a href=""https://data.iledefrance-mobilites.fr/explore/dataset/acces/information/"">Accès</a></li><li><a href=""https://data.iledefrance-mobilites.fr/explore/dataset/zones-d-arrets/information/"">Zone d'arrêts</a></li><li><a href=""https://data.iledefrance-mobilites.fr/explore/dataset/zones-de-correspondance/information/"">Zones de correspondance</a></li><li><a href=""https://data.iledefrance-mobilites.fr/explore/dataset/poles-d-echange/information/"">Pôles d'échange</a></li><li><a href=""https://data.iledefrance-mobilites.fr/explore/dataset/relations/information/"">Relations</a></li><li><a href=""https://data.iledefrance-mobilites.fr/explore/dataset/relations-acces/information/"">Relations accès</a></li><li><a href=""https://data.iledefrance-mobilites.fr/explore/dataset/referentiel-arret-tc-idf/information/"">Fichiers SIG</a></li>
</ul>
<hr/>";Arrêts;Référentiel,Arrêts;Licence Ouverte v2.0 (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2024-05-15T00:00:58+00:00;True;True;2024-05-15T00:00:58+00:00;2024-05-15T00:00:58.724000+00:00;fr_40_11;True;Île-de-France;;;Île-de-France Mobilités;;15614;;;;;;;False;;;;;;;zones-de-correspondance
;;;;;;Semestrielle;;;;;;;;;;Validations sur le réseau de surface : Nombre de validations par jour (1er trimestre 2023);"<p style=""background-color: #68b7e7 ; color : white"">Les données de validations sont mises à jour fin février et fin août.</p>

<p>Ce jeu de données présente le nombre de validations des voyageurs par jour par ligne et par titre de transport sur le réseau de surface.</p><hr style=""font-size: 12.495px;""/><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif; '><span style=""font-weight: bolder;"">Mise à jour des données</span></p><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif;'>Les données sont mises à jour de manière semestrielle.</p><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif; '><span>La documentation et les informations du jeu de données peuvent être mis à jour plus régulièrement.</span><br/></p><hr/>
<p>
<strong>Documentation</strong></p><p>
	 	Une  documentation relative aux données de validation est disponible</p><p>
<a href=""https://eu.ftp.opendatasoft.com/stif/Validations/Documentation/Donnees_de_validation.pdf"">Consulter la documentation sur les données de validation</a></p><hr/>
<p>
<strong>Les jeux des données de validation</strong></p><p><span>Pour avoir accès aux données de validation des années précédentes et aux autres jeux de données de validation, vous pouvez consulter l'<a href=""https://data.iledefrance-mobilites.fr/explore/dataset/histo-validations"" target=""_blank"">historique des données de validation</a>.</span><strong><br/></strong></p><p>
<strong></strong></p>
<hr/>";Fréquentation mesurée;Validations télébillettiques;Licence ODbL Version Française;https://doc.transport.data.gouv.fr/le-point-d-acces-national/cadre-juridique/conditions-dutilisation-des-donnees/licence-odbl;fr;fr;;2024-01-10T13:27:39+00:00;True;True;2023-09-12T09:42:40+00:00;2024-01-10T13:27:43+00:00;fr_40_11;True;Île-de-France;;;Île-de-France Mobilités;;759600;;;;;;;False;;;;;;;validations-reseau-surface-nombre-validations-par-jour-1er-trimestre
;;;;;;;;;;;;;;;;Fréquentation du Pôle de La Défense (expérimentation de lissage des heures de pointe);"<p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif; color: rgb(86, 86, 86);'>Ces données sont issues de 14 capteurs de comptage, placés au niveau des points d’accès aux stations de La Défense (Grande Arche) et Esplanade de La Défense.</p><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif; color: rgb(86, 86, 86);'>Ces capteurs de comptage ont été installés en mars 2019 de manière à comptabiliser l’ensemble des entrants et sortants du pôle, dans le cadre d’une expérimentation sur le lissage des heures de pointe à La Défense.</p><p style='font-family: -apple-system, BlinkMacSystemFont, ""Segoe UI"", Roboto, Helvetica, Arial, sans-serif; color: rgb(86, 86, 86);'>Lexique Type de jour :</p><ul><li><font color=""#565656"" face=""-apple-system, BlinkMacSystemFont, Segoe UI, Roboto, Helvetica, Arial, sans-serif"">JOHV : Jour Ouvré Hors Vacances Scolaires ;</font></li><li><font color=""#565656"" face=""-apple-system, BlinkMacSystemFont, Segoe UI, Roboto, Helvetica, Arial, sans-serif"">JOVS : Jour Ouvré en période de Vacances Scolaires ;</font></li><li><font color=""#565656"" face=""-apple-system, BlinkMacSystemFont, Segoe UI, Roboto, Helvetica, Arial, sans-serif"">SA : Samedis ;</font></li><li><font color=""#565656"" face=""-apple-system, BlinkMacSystemFont, Segoe UI, Roboto, Helvetica, Arial, sans-serif"">DIJFP : Dimanches, Jours Fériés et Ponts</font></li></ul>";Fréquentation mesurée;Fréquentation;Licence Ouverte v2.0 (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2024-01-10T08:58:55+00:00;True;True;2023-11-21T09:48:14+00:00;2024-01-10T08:58:59.302000+00:00;fr_40_11;True;Île-de-France;;;RATP;;273;;;;;;;False;;;;;;;frequentation-du-pole-de-la-defense-experimentation
;;;;;;;;;;;;;;;;Subventions Ile-de-France Mobilités;<p>Liste des subventions signées/notifiées par Ile-de-France Mobilités.</p><p>Ce fichier répond à une norme fixée par le Décret no 2017-779 du 5 mai 2017 relatif à l’accès sous forme électronique aux données essentielles des conventions de subvention. Vous trouverez ce décret en pièce jointe.</p><hr/>;Données hors loi LOM;Projets;Licence Ouverte v2.0 (Etalab);https://www.etalab.gouv.fr/wp-content/uploads/2017/04/ETALAB-Licence-Ouverte-v2.0.pdf;fr;fr;;2024-01-10T13:38:02+00:00;True;True;2019-09-09T13:45:21+00:00;2024-01-10T13:38:11.427000+00:00;fr_40_11;True;Île-de-France;;;Île-de-France Mobilités;;123;;;;;;;False;;;;;;;subventions-2017
